sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR6512874,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),none,0h,control,rs_h_pm_c_2,e4-2-0,
SRR6512875,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),heat,1h,medium,rs_h_pm_1,e4-2,e4-2-0
SRR6512876,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),heat,1h,medium,rs_h_pm_2,e4-2,e4-2-0
SRR6512877,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),none,0h,control,rs_h_m_c_1,e4-3-0,
SRR6512878,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),none,0h,control,rs_h_m_c_2,e4-3-0,
SRR6512879,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),heat,1h,medium,rs_h_m_1,e4-3,e4-3-0
SRR6512880,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),heat,1h,medium,rs_h_m_2,e4-3,e4-3-0
SRR3420878,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,none,0h,control,mm_h_t_c_1,e5-1-0,
SRR3420879,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,none,0h,control,mm_h_t_c_2,e5-1-0,
SRR3420880,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,heat,1h,medium,mm_h_t_1,e5-1,e5-1-0
SRR3420881,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,heat,1h,medium,mm_h_t_2,e5-1,e5-1-0
SRR3420882,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,none,0h,control,rs_h_t1_c_1,e5-2-0,
SRR3420883,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,none,0h,control,rs_h_t1_c_2,e5-2-0,
SRR3420884,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,heat,1h,medium,rs_h_t1_1,e5-2,e5-2-0
SRR3420885,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,heat,1h,medium,rs_h_t1_2,e5-2,e5-2-0
SRR2006791,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm_h_l_c,e6-1-0,
SRR2006792,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm_h_l,e6-1,e6-1-0
SRR2006793,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm_h_l1_c,e6-2-0,
SRR2006794,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm_h_l1,e6-2,e6-2-0
SRR2006795,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,none,0h,control,mm_h_a_c,e6-3-0,
SRR2006796,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,heat,1h,medium,mm_h_a,e6-3,e6-3-0
SRR2006797,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,none,0h,control,mm_h_a1_c,e6-4-0,
SRR2006798,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,heat,1h,medium,mm_h_a1,e6-4,e6-4-0
SRR1223238,single,200,30,p7,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm_h_l3_c,e7-0,
SRR1223239,single,200,30,p7,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm_h_l3,e7-1,e7-0
SRR9209200,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm_h_s_c_1,e8-1-0,
SRR9209201,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm_h_s_c_2,e8-1-0,
SRR9209198,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm_h_s_1,e8-1,e8-1-0
SRR9209199,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm_h_s_2,e8-1,e8-1-0
SRR9209204,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm_h_s1_c_1,e8-2-0,
SRR9209205,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm_h_s1_c_2,e8-2-0,
