"","e1-1","e1-2","e1-3","e1-4","e1-5","e2-1","e2-2","e2-3","e3-1","e4-1","e4-2","e4-3","e5-1","e5-2","e6-1","e6-2","e6-3","e6-4","e7-1","e8-1","e8-2","e9-1","e10-2","e11-1","e11-2","e11-3","e12-1","e12-2","e12-3","e14-1","e14-2","e14-3","e15-1","e15-2","e15-3","e15-4","e15-5","e17-1","e17-2","e18-1","e19-1","e19-2","e19-3","e19-4","e19-5","e19-6"
"Solyc01g005120.3.1",-1.76095209113394,-1.66326150704158,-2.55032442728824,-1.63467213374726,-1.21630647975275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33194278466023,0,0,0,0,0,0,0,0,0,-1.76095209113394,-1.66326150704158,-2.55032442728824,-1.63467213374726,-1.21630647975275,0,0,-1.04764318180914,0,0,0,0,0,0
"Solyc01g005230.5.1",1.7382739223499,0,1.54226742208681,1.91178037903964,0,0,0,0,0,0,0,0,-1.96671515959754,-4.61716199680385,0,0,0,0,0,0,0,0,1.83271953884909,0,0,0,0,0,0,0,0,0,1.7382739223499,0,1.54226742208681,1.91178037903964,0,0,0,0,0,0,0,0,0,0
"Solyc01g005240.4.1",1.2178652202161,1.29128081686802,0,0,0,0,-1.91316217071202,0,3.91135740005313,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16074843857977,0,0,0,0,0,0,0,0,0,1.2178652202161,1.29128081686802,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g005350.4.1",-1.741858311844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.741858311844,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g005470.3.1",-2.19410756979069,0,0,-3.61229484098363,0,0,-5.33190504450934,0,0,0,0,0,0,0,2.64540425909814,1.29299195970199,0,0,2.64540425909814,0,0,0,1.3604036696778,0,0,0,0,-1.24183004258301,1.9216005665142,0,0,0,-2.19410756979069,0,0,-3.61229484098363,0,-4.53105179656437,-2.64509618022681,0,0,0,0,0,0,0
"Solyc01g005500.3.1",-5.51876250756136,0,0,-5.44380133819468,0,0,-3.45917034922223,0,0,0,0,0,0,1.82677520469614,0,0,0,0,0,0,0,0,0,0,0,0,4.23953939254116,0,0,0,0,0,-5.51876250756136,0,0,-5.44380133819468,0,0,-5.63270950925568,0,0,0,0,0,0,0
"Solyc01g005540.5.1",-1.20928569247233,-1.13038716995979,-1.23270990889201,-1.75524532033475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27895025033171,0,0,0,0,0,0,0,0,0,-1.20928569247233,-1.13038716995979,-1.23270990889201,-1.75524532033475,0,0,-1.34581229647234,0,0,0,0,0,0,0
"Solyc01g005590.2.1",-2.11637515803739,-2.52427866846603,-5.22741825228152,-6.0357591294684,-1.83409153776919,0,-3.59725270309327,0,0,0,0,0,0,-2.22274597282122,0,0,0,0,0,0,0,0,-4.79800120529668,0,0,0,0,0,0,0,0,0,-2.11637515803739,-2.52427866846603,-5.22741825228152,-6.0357591294684,-1.83409153776919,0,-2.68340885919992,0,0,0,0,0,0,0
"Solyc01g005980.4.1",1.0330361321934,0,1.54571385400896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65320741058478,0,0,0,0,0,0,0,0,0,1.0330361321934,0,1.54571385400896,0,0,0,1.27810540848844,0,0,0,0,0,0,0
"Solyc01g006050.2.1",2.1284285554719,0,2.72979619880436,2.36683401870697,0,0,4.70375171283372,0,0,0,0,0,0,2.29540166988344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1284285554719,0,2.72979619880436,2.36683401870697,0,0,1.39569855817467,0,0,0,0,0,0,0
"Solyc01g006540.4.1",-2.16417133207767,-1.90092783728958,-2.3483558666757,-4.11266926321115,-1.19338304429801,0,-1.23426773797775,0,0,0,0,0,-2.92731115709474,0,0,-1.44363362329397,-2.65855870583765,0,0,0,0,0,-2.34104389242872,0,0,0,0,0,0,0,0,0,-2.16417133207767,-1.90092783728958,-2.3483558666757,-4.11266926321115,-1.19338304429801,-2.64590853095158,0,0,0,0,0,0,0,0
"Solyc01g006680.4.1",1.75015687225076,1.48305705261874,6.45300104384338,3.41996350732804,2.08183332810091,0,-1.37777545694036,0,0,0,0,0,1.83015620028941,1.58894057502479,0,0,0,1.18704396449995,0,0,0,0,3.23899828305329,0,0,0,0,0,0,0,0,0,1.75015687225076,1.48305705261874,6.45300104384338,3.41996350732804,2.08183332810091,0,0,0,0,0,0,0,0,0
"Solyc01g006920.4.1",2.49102850528045,3.41365651317831,4.488201860038,4.39102908854604,0,0,1.78999559958132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19674023984311,0,0,0,0,0,0,0,0,0,2.49102850528045,3.41365651317831,4.488201860038,4.39102908854604,0,0,1.67604730280136,0,0,0,0,0,0,0
"Solyc01g006930.3.1",-1.16107051746414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05027050790547,0,0,0,0,0,0,0,0,0,-1.16107051746414,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g007030.3.1",1.29488061450298,2.28418627208267,0,0,-1.75906787491664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.60951641501265,0,0,0,0,1.29488061450298,2.28418627208267,0,0,-1.75906787491664,-3.27251927555693,-3.7361810982852,0,0,0,0,0,0,0
"Solyc01g007040.4.1",2.12764536006936,3.17189086605716,0,0,-2.47205795243673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.49864397392877,0,0,0,0,2.12764536006936,3.17189086605716,0,0,-2.47205795243673,-3.00174251045924,-4.20633893389624,0,0,0,0,0,0,0
"Solyc01g007080.3.1",-2.97048447141286,0,-5.04444664880671,-8.07842913374253,-4.70207706413746,0,0,0,0,0,0,0,0,6.4265308073293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.97048447141286,0,-5.04444664880671,-8.07842913374253,-4.70207706413746,0,0,0,0,0,0,0,0,0
"Solyc01g007130.3.1",1.00369933277759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00369933277759,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g007810.1.1",-1.25336490976777,-2.20515050371035,-4.95538214833872,-6.3651133701856,-1.901514243862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89872064754346,0,0,0,0,0,0,0,0,0,-1.25336490976777,-2.20515050371035,-4.95538214833872,-6.3651133701856,-1.901514243862,0,0,0,0,0,0,0,0,0
"Solyc01g007840.3.1",1.48274842128313,1.14223766858236,1.50785887330214,3.05573859623894,0,0,0,0,0,0,0,0,1.32286241007986,1.16976972087535,0,0,0,1.03410209552812,0,0,0,0,2.81370954014114,0,0,0,0,0,0,0,0,0,1.48274842128313,1.14223766858236,1.50785887330214,3.05573859623894,0,0,0,0,0,0,0,0,0,0
"Solyc01g007950.5.1",1.33679994276441,0,0,0,-1.18694898391548,0,0,0,3.4558520142454,0,0,0,0,0,0,0,-2.54818698027158,0,0,0,0,0,0,0,0,0,0,0,1.65979102333968,0,0,0,1.33679994276441,0,0,0,-1.18694898391548,0,0,0,0,0,0,0,0,0
"Solyc01g008160.4.1",1.41634180391253,2.00392115423634,2.60053859552488,2.74835332885819,1.61908945114167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8686249031075,0,0,0,0,0,0,0,0,0,1.41634180391253,2.00392115423634,2.60053859552488,2.74835332885819,1.61908945114167,-1.67740612279824,-1.08016013363935,0,0,0,0,0,0,0
"Solyc01g008290.3.1",1.18809434864081,1.85782031546124,2.13798765515283,2.05469791020646,1.05634945947165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9405349913863,0,0,0,0,0,0,0,0,0,1.18809434864081,1.85782031546124,2.13798765515283,2.05469791020646,1.05634945947165,0,0,0,0,0,0,0,0,0
"Solyc01g008420.3.1",-1.76739615408647,0,-3.30592305699816,0,0,0,0,0,0,0,0,0,0,1.0536651716971,0,0,0,0,0,0,0,0,-1.76965042295794,0,0,0,0,0,-2.16480892710958,0,0,0,-1.76739615408647,0,-3.30592305699816,0,0,2.50435139403479,1.71110343028267,0,0,0,0,0,0,0
"Solyc01g008460.3.1",1.82279934666218,2.08206086408708,3.0287567879991,3.59599915033092,1.42230733587695,0,1.72067659793885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62167843805836,0,0,0,0,0,0,0,0,0,1.82279934666218,2.08206086408708,3.0287567879991,3.59599915033092,1.42230733587695,0,0,0,0,0,0,0,0,0
"Solyc01g008510.3.1",5.47596834685992,3.9398721741248,6.06172871001084,8.56116392837294,5.17932033685303,0,6.4647212148032,0,0,0,0,0,0,0,0,3.78379696116384,0,0,0,4.04001287684775,0,0,-1.1335204879999,0,0,0,1.44706758412559,0,0,0,0,0,5.47596834685992,3.9398721741248,6.06172871001084,8.56116392837294,5.17932033685303,0,3.16992022950018,0,0,0,0,0,0,0
