sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR2006794,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm-6-2,e6-2,e6-2-0
SRR2006795,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,none,0h,control,mm-6-3-0,e6-3-0,
SRR2006796,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,heat,1h,medium,mm-6-3,e6-3,e6-3-0
SRR2006797,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,none,0h,control,mm-6-4-0,e6-4-0,
SRR2006798,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,heat,1h,medium,mm-6-4,e6-4,e6-4-0
SRR1223238,single,200,30,p7,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm-7-0,e7-0,
SRR1223239,single,200,30,p7,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm-7-1,e7-1,e7-0
SRR9209200,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm-8-1-0.1,e8-1-0,
SRR9209201,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm-8-1-0.2,e8-1-0,
SRR9209198,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm-8-1.1,e8-1,e8-1-0
SRR9209199,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm-8-1.2,e8-1,e8-1-0
SRR9209204,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm-8-2-0.1,e8-2-0,
SRR9209205,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,none,0h,control,mm-8-2-0.2,e8-2-0,
SRR9209202,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm-8-2-1.1,e8-2,e8-2-0
SRR9209203,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm-8-2-1.2,e8-2,e8-2-0
SRR1805811,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha-9-0.1,e9-0,
SRR1805718,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha-9-0.2,e9-0,
SRR1805727,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha-9-0.3,e9-0,
SRR1805729,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha-9-0.4,e9-0,
SRR1805731,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha-9-0.5,e9-0,
SRR1805733,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha-9-1.1,e9-1,e9-0
SRR1805735,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha-9-1.2,e9-1,e9-0
SRR1805737,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha-9-1.3,e9-1,e9-0
SRR1805739,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha-9-1.4,e9-1,e9-0
SRR1805741,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha-9-1.5,e9-1,e9-0
SRR10003672,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,none,0h,control,LA-10-2-0.1,e10-2-0,
SRR10003671,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,none,0h,control,LA-10-2-0.2,e10-2-0,
